keyword,url
skparab1,skparab1.github.io
schoology,fuhsd.schoology.com
butterflies,winchesterhhs.weebly.com/uploads/5/9/2/8/59282459/in_the_time_of_the_butterflies_-_julia_alvarez.pdf
ec_gui_video,www.youtube.com/watch?v=muqYvEX9VY8
barcode,www.google.com/search?channel=tus5&client=firefox-b-1-d&q=barcode
googledoc,docs.google.com/document/d/11I51MyHT19LVQ9zTapcXE7Ik0bEGDm-soq5ea1pkRoM/edit?usp=sharing
bikingroute,goo.gl/maps/tUizqTusHSMWQmhe7
oldbikingroute,goo.gl/maps/xruLc5Mjxhs6SWQVA
lhs-bike,goo.gl/maps/t5SL5dqpvwhDXbsX7
gui,skparab1.github.io/encryption-code-gui
dm,www.deltamath.com/sign-in/?redirectUrl=/student
ic,campus.fuhsd.org/campus/fremont.jsp
study,docs.google.com/document/d/1Y3eQWWOJxslntSs9t0-5o24NUbgOq2ij_Bud-jFs8XI/edit?usp=sharing
walk,goo.gl/maps/tjw57WRjfTJg5TFRA
traffic,skparab1.github.io/traffic_simulator/
trafficvid,www.youtube.com/watch?v=wt0e9K5jdL0
napolean,docs.google.com/document/d/1F-JCTxG8SdVoFbaYzKiOhq1MFjFa3u5Cyz17NEBZg_c/edit?usp=sharing
